Ngày giao dịch,Số tiền,Mã ngoài,Mã hóa đơn,Mã hợp đồng,Phòng,Khách thuê,Phương thức,Nội dung
2026-10-01,13394500,FT261001-03,HD-202610-001,HD-2026-001,A.12.03,Trần Minh Đức,Chuyển khoản,THANH TOAN TIEN NHA A.12.03
2026-10-02,5877500,FT261002-04,HD-202610-002,HD-2026-002,B.05.01,Nguyễn Thị Hương,Chuyển khoản,THANH TOAN TIEN NHA B.05.01
2026-10-03,7946500,FT261003-05,HD-202610-003,HD-2026-003,C.08.02,Lê Quang Huy,Chuyển khoản,THANH TOAN TIEN NHA C.08.02
2026-10-04,6035000,FT261004-06,HD-202610-004,HD-2026-004,D.03.06,Hoàng Nam Khánh,Chuyển khoản,THANH TOAN TIEN NHA D.03.06
2026-10-05,12227500,FT261005-07,HD-202610-007,HD-2026-007,B.12.05,Đặng Quốc Bảo,Chuyển khoản,THANH TOAN TIEN NHA B.12.05
2026-10-06,7296500,FT261006-08,HD-202610-008,HD-2026-008,C.06.10,Ngô Yến Nhi,Chuyển khoản,THANH TOAN TIEN NHA C.06.10
2026-10-07,11345500,FT261007-09,HD-202610-009,HD-2026-009,D.10.03,Phan Văn Long,Chuyển khoản,THANH TOAN TIEN NHA D.10.03
2026-10-08,9696000,FT261008-10,HD-202610-010,HD-2026-010,A.04.07,Bùi Thị Mai,Chuyển khoản,THANH TOAN TIEN NHA A.04.07
2026-10-09,5956000,FT261009-11,HD-202610-011,HD-2026-011,A.11.02,Nguyễn Thảo Vy,Chuyển khoản,THANH TOAN TIEN NHA A.11.02
2026-10-10,7615000,FT261010-12,HD-202610-012,HD-2026-012,A.16.08,Phạm Thu Trang,Chuyển khoản,THANH TOAN TIEN NHA A.16.08
2026-10-11,3906000,FT261011-13,,HD-2026-023,C.02.01,Trịnh Anh Yến,Chuyển khoản,THANH TOAN TIEN NHA C.02.01
2026-10-12,5097000,FT261012-14,,HD-2026-024,C.13.04,Cao Thị Thành,Chuyển khoản,THANH TOAN TIEN NHA C.13.04
2026-10-13,10145000,FT261013-15,,,A.16.04,Phan Phương Hiếu,Chuyển khoản,THANH TOAN TIEN NHA A.16.04
2026-10-14,11270000,FT261014-16,,,A.05.04,Lê Hữu Thành,Chuyển khoản,THANH TOAN TIEN NHA A.05.04
2026-10-13,7907500,FT261015-17,,,E.03.01,,Chuyển khoản,THANH TOAN TIEN NHA E.03.01
2026-07-06,13307500,FT260706-19,HD-202607-001,HD-2026-001,A.12.03,Trần Minh Đức,Chuyển khoản,THANH TOAN TIEN NHA A.12.03
2026-08-05,13490000,FT260805-02,HD-202608-002,HD-2026-001,A.12.03,Trần Minh Đức,Chuyển khoản,THANH TOAN TIEN NHA A.12.03
2026-10-18,5903500,FT261018-20,HD-202610-028,HD-2026-028,D.08.02,Hồ Anh Hùng,Chuyển khoản,THANH TOAN TIEN NHA D.08.02
2026-10-19,6450000,FT261019-21,HD-202610-029,HD-2026-029,A.07.05,Đỗ Thị Thành,Chuyển khoản,THANH TOAN TIEN NHA A.07.05
2026-10-20,3500000,VTB261019,,,A12.04,,Chuyển khoản,CK KHONG RO
2026-10-21,7000000,TCB261020,,,,Nguyễn Văn Không Có,Chuyển khoản,THANH TOAN
