Họ tên,SĐT,CCCD,Phòng,Ngày bắt đầu thuê,Zalo
Nguyễn Văn An,0901 111 222,012345678901,A.01.01,2026-10-01,an.nguyen93
Trần Thị Bình,0902 333 444,012345678902,B.01.02,2026-10-05,
Lê Quang Huy,0909 876 543,,C.08.02,2026-10-10,
Phạm Thu Trang,0904 555 666,01234,A.16.08,2026-10-12,
Hoàng Nam Khánh,,012345678905,D.03.06,2027-01-01,
Vũ Thị Mai,0905 777 888,012345678906,Z.99.99,2026-09-30,
Đặng Quốc Bảo,0906 999 000,,A.02.02,2026-10-15,bao.dq
Ngô Yến Nhi,0907 121 212,012345678908,B.02.01,2026-10-18,
Phan Văn Long,0908 343 434,012345678909,C.01.01,2026-10-20,
Bùi Thị Hạnh,0909 565 656,012345678910,D.01.01,2026-10-22,
